time,seconds_elapsed,steps
1762766422851939600,7137.475939697266,3010
1762766425424708900,7140.048708984375,3014
1762766427997467100,7142.621467041015,3018
1762766430570218500,7145.19421850586,3024
1762766433142959600,7147.766959716797,3028
1762766435715697400,7150.339697509766,3033
1762766438288434400,7152.912434326172,3038
1762766440861172200,7155.485172119141,3042
1762766443433908500,7158.057908447266,3048
1762766446006640400,7160.630640380859,3052
1762766448579370500,7163.203370605469,3057
1762766451152094700,7165.776094726562,3062
1762766453724813800,7168.348813720703,3066
1762766456297526500,7170.921526611328,3071
1762766458870235100,7173.494235107421,3076
1762766461442941700,7176.066941650391,3081
1762766464015647000,7178.639646972656,3086
1762766466588353500,7181.212353515625,3090
1762766469162315000,7183.786314941406,3095
1762766471735027000,7186.359026855469,3099
1762766474307750400,7188.931750488281,3105
1762766476881737700,7191.505737792969,3109
1762766479454481700,7194.078481689453,3114
1762766482027243300,7196.651243164062,3119
1762766484600011800,7199.22401171875,3123
1762766487172786400,7201.796786376953,3128
1762766489745565400,7204.369565429687,3133
1762766492318349300,7206.942349365235,3138
1762766494891137500,7209.5151374511715,3142
1762766497463930600,7212.087930664063,3147
1762766500036727800,7214.660727783203,3152
1762766502609526800,7217.233526855469,3157
1762766505182328300,7219.806328369141,3162
1762766507755131600,7222.379131591797,3167
1762766510327936800,7224.951936767578,3171
1762766512900746000,7227.52474609375,3176
1762766515473556700,7230.097556640625,3181
1762766518046369500,7232.670369628906,3185
1762766520619185400,7235.243185302735,3189
1762766523192001000,7237.816000976563,3194
1762766525764818700,7240.388818603516,3198
1762766528342036700,7242.966036621094,3199
1762766530914857200,7245.538857177735,3199
1762766533488305700,7248.112305664063,3199
1762766536061124400,7250.685124267578,3199
1762766538633948400,7253.257948486328,3211
1762766541206777600,7255.83077758789,3216
1762766543779609900,7258.403609863281,3220
1762766546352442600,7260.976442626953,3225
1762766548925272300,7263.549272216796,3230
1762766551498102000,7266.122102050781,3234
1762766554070931000,7268.694930908203,3239
1762766556643760400,7271.267760498047,3242
1762766559216587800,7273.840587890625,3247
1762766561789412900,7276.413412841797,3252
1762766564362235400,7278.986235351563,3256
1762766566935054300,7281.559054443359,3261
1762766569507870700,7284.131870605469,3265
1762766572081315600,7286.705315673828,3266
1762766574654756600,7289.278756591797,3269
1762766577227576800,7291.851576904297,3275
1762766579800407800,7294.424407714844,3280
1762766582373246200,7296.99724609375,3285
1762766584946087400,7299.570087402344,3290
1762766587518930700,7302.142930664062,3295
1762766590091777300,7304.71577734375,3300
1762766592664625700,7307.288625732422,3304
1762766595237476400,7309.86147631836,3309
1762766597810328000,7312.434328125,3314
1762766600383180000,7315.007179931641,3318
1762766602956031700,7317.580031738281,3323
1762766605528885200,7320.152885253906,3328
1762766608101738200,7322.72573828125,3331
1762766610674592000,7325.298592041016,3337
1762766613249959000,7327.873958984375,3342
1762766615822814000,7330.446813964843,3346
1762766618395672800,7333.019672851562,3351
1762766620968533000,7335.592532958984,3356
1762766623541393400,7338.165393310547,3360
1762766626114253600,7340.738253662109,3365
1762766628688371700,7343.312371826172,3370
1762766631261230600,7345.885230712891,3374
1762766633834090200,7348.458090332031,3379
1762766636406944800,7351.030944824219,3384
1762766638979796000,7353.603795898437,3388
1762766641552643800,7356.176643798828,3393
1762766644125490200,7358.749490234375,3398
1762766646698337500,7361.322337646485,3402
1762766649271183600,7363.89518359375,3407
1762766651844028200,7366.468028076172,3411
1762766654416872000,7369.0408718261715,3416
1762766656989712000,7371.613711914062,3420
1762766659562548500,7374.186548583984,3425
1762766662135378400,7376.759378417969,3430
1762766664708205300,7379.3322053222655,3434
1762766667281026300,7381.905026367188,3439
1762766669853843700,7384.47784375,3443
1762766672426658000,7387.050657958985,3448
1762766674999467800,7389.623467773437,3452
1762766677572276700,7392.196276855469,3457
1762766680145084000,7394.769083984375,3462
1762766682717888000,7397.341887939453,3466
1762766685290689500,7399.914689453125,3471
1762766687863486700,7402.487486816406,3475
1762766690436284200,7405.060284179687,3480
1762766693009079000,7407.633079101563,3484
1762766695581875200,7410.205875244141,3489
1762766698154673200,7412.778673095703,3494
1762766700727474200,7415.351474121094,3498
1762766703300276700,7417.924276855469,3503
1762766705873081600,7420.497081542969,3507
1762766708445890800,7423.06989086914,3512
1762766711019961300,7425.643961425781,3516
1762766713592779800,7428.216779785156,3521
1762766716165613600,7430.78961352539,3525
1762766718738458000,7433.362458007812,3530
1762766721311305500,7435.935305419922,3534
1762766723884155000,7438.508154785156,3538
1762766726457002500,7441.081002441406,3543
1762766729029847600,7443.65384765625,3547
1762766731602691600,7446.22669165039,3551
1762766734175531800,7448.799531738281,3555
1762766736748372500,7451.372372558594,3557
1762766739321209600,7453.945209716797,3561
1762766741894049000,7456.518049072266,3564
1762766744466885000,7459.090885009766,3566
1762766747039720400,7461.663720458984,3566
1762766749612559400,7464.236559326172,3569
1762766752185399300,7466.809399414063,3572
1762766754758243000,7469.382243164063,3575
1762766757331087400,7471.955087402343,3578
1762766759903932000,7474.527931884766,3580
1762766762476777000,7477.100776855469,3585
1762766765049620500,7479.673620361328,3589
1762766767622463700,7482.246463623047,3593
1762766770195307300,7484.819307373047,3597
1762766772768152300,7487.39215234375,3600
1762766775340998400,7489.964998291016,3601
1762766777913842700,7492.537842773438,3604
1762766780486681000,7495.110681152344,3606
1762766783059517400,7497.683517333984,3606
1762766785632352000,7500.256352050781,3606
1762766788205185500,7502.829185546875,3606
1762766790778017500,7505.402017578125,3606
1762766793350847000,7507.974846923828,3606
1762766795923674600,7510.547674560547,3606
1762766798496506000,7513.120506103515,3606
1762766801069337600,7515.693337646484,3606
1762766803642166000,7518.266166015625,3606
1762766806214985700,7520.838985839844,3606
1762766808787800800,7523.41180078125,3606
1762766811360604700,7525.984604736328,3606
1762766813935293400,7528.559293457031,3606
1762766816508112400,7531.132112304687,3606
1762777067123638000,17781.747637939454,3606
1762777069695916500,17784.319916503908,3615
1762777072268195600,17786.89219555664,3620
1762777074840477000,17789.46447680664,3624
1762777077412770800,17792.036770751954,3630
1762777079985076700,17794.609076660156,3633
1762777082557391600,17797.181391601564,3638
1762777085129706500,17799.753706542968,3644
1762777087702017300,17802.326017333984,3649
1762777090274323500,17804.89832348633,3651
1762777092846627000,17807.470626953123,3656
1762777095418932000,17810.042931884767,3661
1762777097991239200,17812.61523925781,3667
1762777100563552300,17815.187552246094,3672
1762777103135866600,17817.75986669922,3677
1762777105708181000,17820.332180908204,3683
1762777108280489200,17822.904489257813,3687
1762777110852795400,17825.476795410155,3692
1762777113425099500,17828.049099609376,3698
1762777115997400000,17830.621400146483,3702
1762777118569703200,17833.193703125,3708
1762777121142009900,17835.766009765626,3712
1762777123714315500,17838.338315429686,3717
1762777126286623000,17840.910623046875,3722
1762777128858932200,17843.482932128907,3727
1762777131431244300,17846.055244384766,3732
1762777134003561000,17848.627561035155,3736
1762777136575883300,17851.199883300782,3741
1762777139148208600,17853.772208740233,3746
1762777141720537600,17856.344537597655,3750
1762777144292870400,17858.91687036133,3755
1762777146865207600,17861.48920751953,3760
1762777149437547300,17864.061547363282,3765
1762777152009892000,17866.633892089845,3770
1762777154582239700,17869.206239746094,3775
1762777157154587400,17871.778587402343,3780
1762777159726937300,17874.35093725586,3785
1762777162299289300,17876.92328930664,3790
1762777164871642400,17879.495642333983,3794
1762777167443997400,17882.067997558595,3799
1762777170016353000,17884.640353027346,3804
1762777172588711200,17887.21271118164,3809
1762777175161071900,17889.785071777344,3814
1762777177733436700,17892.35743676758,3819
1762777180305803300,17894.929803222658,3824
1762777182878171000,17897.50217089844,3828
1762777185450540500,17900.074540527345,3833
1762777188022909700,17902.64690966797,3838
1762777190595281200,17905.21928125,3843
1762777193167655000,17907.791655029298,3847
1762777195740031700,17910.36403173828,3852
1762777198312408000,17912.936407958983,3857
1762777200884785200,17915.50878515625,3862
1762777203457163800,17918.08116381836,3867
1762777206029541400,17920.653541259766,3872
1762777208601919700,17923.225919677734,3877
1762777211174297300,17925.798297363282,3882
1762777213746674200,17928.370674072266,3886
1762777216319049700,17930.943049804686,3890
1762777218891432000,17933.515431884767,3892
1762777221463829000,17936.08782910156,3892
1762777224036242000,17938.66024194336,3892
1762777226609299700,17941.233299804688,3900
1762777229181748500,17943.805748535156,3905
1762777231754228500,17946.378228515627,3908
1762777234326764500,17948.950764648438,3914
1762777236899334000,17951.523333984376,3919
1762777239471917000,17954.095916992188,3924
1762777242044509400,17956.668509521485,3928
1762777244617103600,17959.241103515626,3933
1762777247189695200,17961.8136953125,3937
1762777249762280200,17964.386280273437,3942
1762777252334855200,17966.95885522461,3947
1762777254907422200,17969.53142211914,3952
1762777257479980800,17972.10398071289,3957
1762777260052530400,17974.67653051758,3962
1762777262625070600,17977.24907055664,3966
1762777265197601000,17979.821601074218,3971
1762777267770123500,17982.394123535156,3976
1762777270342638600,17984.966638671875,3980
1762777272915142400,17987.539142333986,3985
1762777275487638000,17990.11163793945,3990
1762777278060123000,17992.684122802733,3995
1762777280632600800,17995.25660083008,3999
1762777283205069600,17997.82906958008,4004
1762777285777534000,18000.401533935546,4009
1762777288349996000,18002.97399609375,4014
1762777290922457600,18005.546457519533,4019
1762777293494916000,18008.118916015625,4023
1762777296067373000,18010.691373046873,4028
1762777298639829200,18013.263829345702,4033
1762777301212284700,18015.83628466797,4038
1762777303784738000,18018.40873803711,4042
1762777306357192000,18020.98119189453,4048
1762777308929645600,18023.55364550781,4052
1762777311502098200,18026.12609814453,4058
1762777314074548700,18028.698548828124,4061
1762777316647000300,18031.27100024414,4067
1762777319219450000,18033.843450195312,4072
1762777321791899000,18036.41589892578,4077
1762777324364346000,18038.988346191407,4082
1762777326936792800,18041.56079272461,4086
1762777329509238800,18044.133238769533,4090
1762777332081684200,18046.70568432617,4095
1762777334654125600,18049.278125488283,4100
1762777337226564000,18051.850564208984,4105
1762777339798998800,18054.422998779297,4110
1762777342371432200,18056.995432128908,4115
1762777344943862000,18059.567862060547,4120
1762777347516293000,18062.14029321289,4124
1762777350088724000,18064.712723876954,4130
1762777352661156900,18067.285156982423,4134
1762777355233590300,18069.85759033203,4139
1762777357806025700,18072.430025634767,4144
1762777360378459100,18075.002459228515,4149
1762777362950892000,18077.574892089844,4154
1762777365523321000,18080.14732104492,4158
1762777368095747000,18082.71974707031,4163
1762777370668169700,18085.292169677738,4168
1762777373240589000,18087.864589111326,4172
1762777375813008600,18090.437008544923,4177
1762777378385429500,18093.00942944336,4182
1762777380957852700,18095.5818527832,4188
1762777383530280200,18098.154280273437,4193
1762777386102713000,18100.726713134765,4197
1762777388675149000,18103.29914916992,4202
1762777391247588000,18105.871588134767,4207
1762777393820026000,18108.44402612305,4211
1762777396392463000,18111.016463134765,4216
1762777398964897500,18113.588897460937,4221
1762777401537331700,18116.16133178711,4226
1762777404109763600,18118.733763671877,4231
1762777406682194700,18121.306194580076,4235
1762777409257139700,18123.88113964844,4240
1762777411829583400,18126.45358325195,4241
1762777414402045400,18129.026045410155,4246
1762777416974548200,18131.598548339844,4250
1762777419547100200,18134.171100097657,4255
1762777422119700500,18136.743700439452,4259
1762777424692349000,18139.316348876953,4263
1762777427265047000,18141.88904711914,4268
1762777429839049700,18144.463049804686,4271
1762777432411841300,18147.035841308592,4276
1762777434984669400,18149.608669433594,4281
1762777437557509400,18152.181509277343,4285
1762777440130348300,18154.754348388673,4290
1762777442703175400,18157.32717553711,4295
1762777445275988200,18159.89998828125,4300
1762777447848787000,18162.472786865234,4304
1762777450421570300,18165.0455703125,4308
1762777452994337000,18167.618336914064,4313
1762777455567089400,18170.19108935547,4317
1762777458139825200,18172.76382519531,4323
1762777460712548000,18175.336548095704,4328
1762777463285260500,18177.909260498047,4332
1762777465857962000,18180.48196191406,4338
1762777468430654500,18183.054654541014,4342
1762777471003338800,18185.627338867187,4347
1762777473576013600,18188.20001367187,4351
1762777476148682500,18190.77268261719,4356
1762777478721346600,18193.34534667969,4362
1762777481294005800,18195.918005859377,4367
1762777483866660400,18198.49066040039,4372
1762777486439308300,18201.06330834961,4377
1762777489011948000,18203.63594799805,4382
1762777491584580400,18206.208580322265,4387
1762777494157205000,18208.781205078125,4392
1762777496729822200,18211.353822265624,4397
1762777499302433800,18213.92643383789,4402
1762777501875043800,18216.49904394531,4408
1762777504447654700,18219.071654541018,4412
1762777507020267000,18221.644267089843,4417
1762777509592880000,18224.21688012695,4422
